,City,CO,NO2,O3,SO2,PM2.5,PM10
282,Oshkosh,230.31,5.91,50.78,0.47,0.86,1.03
283,Fort Myers,220.3,1.46,98.71,0.31,4.61,7.07
284,Indio,226.97,1.39,127.32,0.82,8.99,11.52
285,Farmington Hills,273.71,6.0,37.91,0.69,2.8,3.03
286,Baldwin Park,487.33,29.13,317.57,18.36,63.91,72.23
287,Bellevue,280.38,10.11,42.56,2.98,3.7,5.29
288,Gary,267.03,18.68,60.8,3.87,2.95,4.61
289,Dayton,236.99,5.83,50.78,0.81,1.74,1.94
290,Laguna Niguel,267.03,7.54,133.04,3.55,12.63,18.77
291,Syracuse,233.65,2.01,103.0,22.41,58.42,202.62
292,Indianapolis,240.33,8.4,67.23,1.48,2.55,3.05
293,San Jose,317.1,12.51,153.07,4.53,22.79,27.94
294,Topeka,220.3,5.83,51.5,2.27,1.93,2.93
295,Arvada,323.77,21.94,95.84,2.8,9.73,11.22
296,Chula Vista,257.02,4.97,141.62,3.13,18.1,24.1
297,Omaha,247.0,8.05,69.38,0.61,3.34,5.11
298,Lexington-Fayette  county,230.31,3.47,65.8,2.15,2.34,2.5
299,Yakima,240.33,4.58,59.37,0.18,3.28,3.76
300,Wichita Falls,307.08,16.11,53.64,0.31,5.96,7.6
301,Huntsville,220.3,2.34,75.1,0.54,2.16,2.44
302,Beaverton,243.66,5.1,60.8,1.74,4.22,5.07
303,Framingham,257.02,12.0,55.79,1.51,3.18,5.25
304,Cape Coral,220.3,1.46,98.71,0.31,4.61,7.07
305,Lee's Summit,413.9,35.99,47.92,3.82,9.77,11.4
306,Oklahoma City,447.27,40.1,32.9,0.88,5.49,6.69
307,McAllen,226.97,1.34,88.69,0.52,7.93,9.62
308,Odessa,230.31,1.86,64.37,1.07,12.39,22.33
309,Asheville,230.31,2.61,55.79,0.92,2.04,2.18
310,Spokane,297.07,9.34,57.22,1.12,10.09,15.87
311,Racine,280.38,19.19,55.79,1.62,2.27,2.85
312,Lafayette,223.64,3.94,94.41,0.81,3.78,5.26
313,Menifee,323.77,5.83,211.72,5.36,35.42,39.15
314,Yuba City,350.48,2.21,158.79,1.07,26.26,30.27
315,Napa,220.3,1.08,108.72,0.51,8.58,11.43
316,West Valley City,410.56,45.24,92.98,5.25,38.96,43.55
317,Greenville,236.99,2.53,55.08,0.26,0.78,0.95
318,Harlingen,257.02,6.34,103.0,1.8,10.81,12.53
319,San Leandro,253.68,10.45,87.26,3.1,7.17,12.5
