,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
2188,Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,Black or African-American,27398
2189,Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,American Indian and Alaska Native,875
2190,Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD,Black or African-American,13372
2191,Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,American Indian and Alaska Native,3102
2192,Cedar Park,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,American Indian and Alaska Native,219
2193,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,White,150568
2194,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA,Hispanic or Latino,3896
2195,Fremont,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,White,67294
2196,Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,Hispanic or Latino,3461
2197,Woodbury,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.719999999999999,MN,Hispanic or Latino,3258
2198,Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,Black or African-American,22699
2199,Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,Hispanic or Latino,41473
2200,Saint Louis,Missouri,35.0,153026.0,162659.0,315685,17060.0,21802.0,2.16,MO,White,155574
2201,Gresham,Oregon,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67,OR,Black or African-American,7721
2202,Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,White,46667
2203,Rochester,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN,Asian,9839
2204,German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD,American Indian and Alaska Native,1232
2205,Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,American Indian and Alaska Native,893
2206,South San Francisco,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA,White,28135
2207,Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,Black or African-American,6896
2208,Longview,Texas,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55,TX,Asian,1810
