,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
2315,Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,White,90403
2316,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,White,249339
2317,Columbia,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,Black or African-American,15489
2318,Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,Hispanic or Latino,3430
2319,Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,American Indian and Alaska Native,651
2320,Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Hispanic or Latino,15500
2321,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,Asian,33384
2322,El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,Hispanic or Latino,31542
2323,Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,Asian,4689
2324,Durham,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC,White,127680
2325,Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,American Indian and Alaska Native,1076
2326,Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,White,61869
2327,Gainesville,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL,White,87612
2328,Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,American Indian and Alaska Native,32243
2329,Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Asian,8423
2330,Albany,Georgia,33.3,31695.0,39414.0,71109,5409.0,861.0,2.38,GA,Asian,650
2331,Sugar Land,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,Black or African-American,8993
2332,Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,White,60210
2333,Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,Black or African-American,1912
2334,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,American Indian and Alaska Native,849
2335,San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,Hispanic or Latino,937607
2336,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Black or African-American,3176
2337,Buena Park,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,White,48412
2338,Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,American Indian and Alaska Native,876
2339,Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.969999999999999,CA,Asian,33937
2340,Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,American Indian and Alaska Native,1187
2341,North Richland Hills,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX,Black or African-American,5439
2342,Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,Black or African-American,876
2343,Citrus Heights,California,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49,CA,Hispanic or Latino,14661
2344,Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61,PA,White,688130
2345,Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,Asian,15065
2346,Davie,Florida,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.719999999999999,FL,Asian,4581
2347,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,American Indian and Alaska Native,645
2348,Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,White,77700
2349,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,Black or African-American,133430
2350,Kansas City,Missouri,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35,MO,American Indian and Alaska Native,5796
2351,East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,American Indian and Alaska Native,778
2352,Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ,Black or African-American,3731
2353,Bay,Texas,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59,TX,Asian,2819
2354,Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,Black or African-American,9259
