Column1;City;State;Median Age;Male Population;Female Population;Total Population;Foreign-born;Average Household Size;State Code;CO;NO2;O3;SO2;PM2.5;PM10
247;Kissimmee;Florida;367;332830;358690;69152;168790;301;FL;20695;159;9012;21;286;434
248;Grand Prairie;Texas;331;908110;969440;187755;448880;318;TX;4940;5621;2575;142;578;884
249;Chattanooga;Tennessee;366;836400;929570;176597;105990;24;TN;21362;127;8798;11;242;265
251;Ontario;California;310;850590;861410;171200;485570;352;CA;4673;1628;3233;1884;7091;7783
254;Visalia;California;326;636950;663990;130094;207790;311;CA;29707;823;11873;95;2031;2548
255;Clarksville;Tennessee;297;750290;741610;149190;82110;264;TN;22364;313;8369;53;194;212
256;Kennewick;Washington;320;384920;404110;78903;83760;278;WA;29039;518;4935;44;635;958
257;Pasadena;Texas;315;788270;749590;153786;380720;295;TX;34714;2228;17023;894;2468;2908
258;Saint George;Utah;373;387320;414750;80207;48240;281;UT;3705;356;9012;168;386;681
260;Davie;Florida;408;487540;521400;100894;265320;2,72E+15;FL;21696;214;9155;28;444;701
261;Clearwater;Florida;470;552250;577540;112979;176860;24;FL;20027;19;9155;21;185;534
262;Port Saint Lucie;Florida;421;840690;953410;179410;340030;291;FL;22364;27;9298;2;478;713
263;Pittsburg;California;345;333090;361180;69427;210430;315;CA;32711;2331;1055;626;703;752
265;Medford;Oregon;386;396060;401890;79795;61850;265;OR;30375;2228;447;25;439;76
266;North Richland Hills;Texas;399;352570;339480;69205;78540;264;TX;2470;1028;4649;26;243;412
267;Skokie;Illinois;434;313820;334370;64819;274240;278;IL;34046;3804;329;95;401;587
268;Missouri City;Texas;372;349320;368460;71778;185560;303;TX;35048;2331;8655;125;664;915
269;Miramar;Florida;366;661570;709580;137115;571790;341;FL;21362;257;8869;37;41;654
271;Union City;California;385;385990;359110;74510;327520;346;CA;2470;78;8798;148;672;1288
272;West Jordan;Utah;308;578980;540440;111942;114920;346;UT;41056;4524;9298;525;3896;4355
273;Evansville;Indiana;380;571980;604810;117679;31690;225;IN;22364;347;8082;17;218;252
275;The Woodlands;Texas;388;560830;630610;119144;211880;293;TX;27371;84;7796;9;737;913
276;Town 'n' Country;Florida;381;394100;395860;78996;221350;261;FL;20862;135;8798;37;237;524
278;Rochester Hills;Michigan;412;363560;370760;73432;137080;266;MI;27371;626;397;49;269;306
280;Suffolk;Virginia;382;430480;451130;88161;28290;2,72E+15;VA;23365;287;7153;95;742;833
281;Colorado Springs;Colorado;348;2255440;2310180;456562;353200;248;CO;17858;261;8369;6;18;208
283;Lewisville;Texas;316;527760;520320;104808;248650;278;TX;28038;1217;6294;45;39;579
286;Santa Maria;California;301;533200;517620;105082;391920;383;CA;26035;291;5436;194;1028;1485
290;Mount Pleasant;South Carolina;427;394290;418800;81309;47010;253;SC;24366;831;515;21;508;871
295;Schaumburg;Illinois;369;359710;398400;75811;246140;2,72E+15;IL;22697;518;6867;95;156;222
296;Manteca;California;353;370530;383970;75450;139420;325;CA;30375;90;19169;823;2803;3238
297;Birmingham;Alabama;356;1021220;1127890;214911;82580;221;AL;27371;1834;724;399;332;363
299;Aurora;Colorado;342;1778990;1809710;358870;658160;2,82E+16;CO;2470;1097;4721;17;194;27
