,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
158,Hartford,Connecticut,31.0,58042.0,65972.0,124014,28467.0,2.59,CT,277.04,11.82,47.21,0.97,2.88,3.63
159,Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,12868.0,2.44,GA,223.64,2.38,62.23,0.55,2.19,2.92
160,Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5318.0,2.4,RI,307.08,15.25,0.0,3.37,7.46,8.07
161,Charlotte,North Carolina,34.3,396646.0,430475.0,827121,128897.0,2.52,NC,270.37,4.46,45.06,0.62,6.95,7.51
162,Jersey City,New Jersey,34.3,131765.0,132512.0,264277,109186.0,2.5700000000000003,NJ,390.53,56.21,23.96,10.25,6.16,8.81
163,Westminster,Colorado,37.8,54866.0,58251.0,113117,11361.0,2.63,CO,260.35,30.5,0.53,8.23,5.25,5.92
164,Long Beach,California,34.6,238159.0,236013.0,474172,127764.0,2.78,CA,277.04,12.0,128.75,6.97,12.89,17.18
165,Coral Springs,Florida,37.2,63316.0,66186.0,129502,38552.0,3.17,FL,216.96,0.93,92.98,0.23,4.95,7.86
167,Spokane Valley,Washington,36.0,49933.0,44975.0,94908,4199.0,2.39,WA,240.33,4.58,77.96,1.13,5.24,8.78
168,Mayagüez,Puerto Rico,38.1,30799.0,35782.0,66581,,,PR,263.69,0.38,14.31,0.28,1.2,1.55
169,San Diego,California,34.5,693826.0,701081.0,1394907,373842.0,2.73,CA,257.02,4.97,141.62,3.13,18.1,24.1
172,Chandler,Arizona,35.6,128885.0,131948.0,260833,38721.0,2.78,AZ,243.66,7.03,155.93,3.16,11.12,19.51
173,Pine Hills,Florida,29.2,35344.0,40737.0,76081,20735.0,3.3,FL,210.29,2.12,88.69,0.29,2.93,4.43
174,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,2.37,OK,440.6,38.04,27.9,2.44,5.65,6.81
175,Hawthorne,California,33.7,43682.0,44762.0,88444,32107.0,2.969999999999999,CA,320.44,16.79,150.2,4.17,16.64,21.05
176,Portland,Oregon,36.7,313516.0,318671.0,632187,86041.0,2.43,OR,270.37,9.34,50.07,3.28,5.26,6.56
177,Tampa,Florida,35.3,175517.0,193511.0,369028,58795.0,2.47,FL,213.62,2.36,88.69,0.6,2.64,5.33
180,Arlington,Virginia,34.4,113981.0,115183.0,229164,55205.0,2.19,VA,420.57,33.24,44.35,1.62,5.11,7.54
181,Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,56530.0,3.25,NV,253.68,15.94,135.9,5.19,11.81,26.57
182,Longmont,Colorado,36.8,43941.0,48280.0,92221,10424.0,2.63,CO,257.02,8.74,94.41,1.67,6.81,7.63
183,Macon,Georgia,36.0,71833.0,81626.0,153459,4846.0,2.46,GA,247.0,3.09,72.96,2.15,5.18,5.64
184,Arden-Arcade,California,41.5,47596.0,48680.0,96276,13458.0,2.18,CA,257.02,6.26,150.2,2.12,15.58,17.84
